Time,y,ydot,x,xdot,normal force on latch x,normal force on load y,frictional force on latch x,frictional force on load y,spring force,unlatching motor force
0,-0.000971550483036125,0,0,0,0,3.2840754398683,-0,-0,3.2840754398683,0.00125
0.000155074408256553,-0.000971550483033634,6.41351790298098e-11,4.99067655216424e-09,6.42549946479353e-05,3.27795165768124e-06,3.28407543888825,-0,-0,3.28407543985514,0.00123393625133802
0.000310148816513106,-0.000971550482996511,5.09610251792124e-10,1.99033508828419e-08,0.000128021219840777,1.30728211450778e-05,3.28407543582119,-0,-0,3.28407543965898,0.00121799469503981
0.00046522322476966,-0.000971550482836418,1.71281442569041e-09,4.46886300374681e-08,0.000191638726023368,2.93521663843019e-05,3.28407543020674,-0,-0,3.28407543881303,0.00120209031849416
0.000620297633026213,-0.00097155048240649,4.05384391137348e-09,7.9349502375824e-08,0.0002554423020615,5.21179500943435e-05,3.28407542122531,-0,-0,3.28407543654126,0.00118613942448462
0.000775372041282766,-0.000971550481499999,7.92633231604499e-09,1.23940524460251e-07,0.000319763545786507,8.14060057042719e-05,3.2840754076916,-0,-0,3.2840754317513,0.00117005911355337
0.000930446449539319,-0.000971550479847486,1.37472892303279e-08,1.78567599055658e-07,0.000384932353189,0.000117285891506775,3.28407538803896,-0,-0,3.28407542301929,0.00115376691170275
0.00108552085779587,-0.000971550477112366,2.1967153029583e-08,2.43387724996359e-07,0.000451278983027717,0.000159860726321127,3.28407536029442,-0,-0,3.28407540856672,0.00113718025424307
0.00124059526605243,-0.000971550472884937,3.30802749446394e-08,3.1860928084305e-07,0.000519135456285942,0.000209267375743057,3.28407532204439,-0,-0,3.28407538622866,0.00112021613592851
0.00139566967430898,-0.000971550466674717,4.76360624630108e-08,4.04492373700193e-07,0.00058883758266404,0.000265676681175422,3.28407527039028,-0,-0,3.28407535341339,0.00110279060433399
0.00155074408256553,-0.000971550457900984,6.62509801638763e-08,5.01349582818976e-07,0.0006607263883448,0.000329293948138467,3.28407520189357,-0,-0,3.28407530705232,0.0010848184029138
0.00170581849082209,-0.000971550445881382,8.96216901156318e-08,6.09546901374013e-07,0.000735150070057254,0.000400359564716963,3.2840751125093,-0,-0,3.28407524353984,0.00106621248248569
0.00186089289907864,-0.000971550429818374,1.18539532565231e-07,7.29504974958422e-07,0.000812465544256951,0.000479149814863435,3.28407499750696,-0,-0,3.2840751586617,0.00104688361393576
0.00201596730733519,-0.000971550408783335,1.53906676160958e-07,8.61700586654775e-07,0.000893040322003507,0.000565977853615104,3.28407485137738,-0,-0,3.28407504751097,0.00102673991949912
0.00217104171559175,-0.000971550381697983,1.9675421072162e-07,1.00666846985382e-06,0.000977254243209036,0.000661194897529527,3.28407466772397,-0,-0,3.28407490438994,0.00100568643919774
0.0023261161238483,-0.000971550347312859,2.48262507201053e-07,1.16500328287841e-06,0.00106550129132968,0.000765191521333089,3.28407443913654,-0,-0,3.28407472269637,0.000983624677167579
0.00248119053210485,-0.000971550304182386,3.0978430777927e-07,1.33736209081113e-06,0.00115819155794287,0.000878399287629925,3.2840741570451,-0,-0,3.28407449479174,0.000960452110514284
0.0026362649403614,-0.000971550250636221,3.82870773924606e-07,1.52446678656765e-06,0.00125575302624604,0.00100129233660951,3.28407381155178,-0,-0,3.28407421184982,0.00093606174343849
0.00279133934861796,-0.000971550184746138,4.6930131339975e-07,1.72710734431397e-06,0.00135863380740988,0.00113438952232952,3.28407339123646,-0,-0,3.28407386368174,0.000910341548147529
0.00294641375687451,-0.000971550104288203,5.71117189145211e-07,1.94614466960079e-06,0.00146730393378328,0.00127825628396826,3.28407288293497,-0,-0,3.28407343853609,0.00088317401655418
0.00310148816513106,-0.000971550006699055,6.90660291617695e-07,2.18251471235175e-06,0.00158225789249334,0.00143350734635388,3.28407227148236,-0,-0,3.28407292286789,0.000854435526876666
0.00325656257338762,-0.000971549889026219,8.30616723391897e-07,2.43723177205358e-06,0.00170401648755202,0.00160080888969429,3.28407153942155,-0,-0,3.28407230107608,0.000823995878111996
0.00341163698164417,-0.000971549747870577,9.94067346742845e-07,2.7113935418829e-06,0.00183312969000382,0.00178088186118539,3.28407066666552,-0,-0,3.28407155519951,0.000791717577499045
0.00356671138990072,-0.000971549579321263,1.18454447367032e-06,3.00618492531243e-06,0.00197017863006069,0.00197450448002374,3.28406963011553,-0,-0,3.28407066457295,0.000757455342484827
0.00372178579815728,-0.000971549378880134,1.40609785152617e-06,3.32288409250466e-06,0.00211577879617828,0.00218251621311758,3.28406840321778,-0,-0,3.28406960542797,0.00072105530095543
0.00387686020641383,-0.000971549141376571,1.66336851814179e-06,3.66286687428186e-06,0.00227058220909687,0.00240582065837684,3.28406695546377,-0,-0,3.28406835044276,0.000682354447725782
0.00403193461467038,-0.000971548860868464,1.961674986674e-06,4.02761393135901e-06,0.00243528101708962,0.00264539025018906,3.28406525180921,-0,-0,3.28406686821896,0.000641179745727595
0.00418700902292694,-0.000971548530530809,2.3071095461421e-06,4.41871580346853e-06,0.00261060990096078,0.00290226957159831,3.28406325202086,-0,-0,3.28406512269299,0.000597347524759804
0.00434208343118349,-0.000971548142526023,2.7066508402028e-06,4.83788130783684e-06,0.00279735012187007,0.00317758086540764,3.28406090991554,-0,-0,3.28406307245083,0.000550662469532482
0.00449715783944004,-0.000971547687858354,3.16828949733347e-06,5.2869433417094e-06,0.00299633221066694,0.00347252783905063,3.28405817250668,-0,-0,3.28406066995874,0.000500916947333265
