Time,y,ydot,x,xdot,normal force on latch x,normal force on load y,frictional force on latch x,frictional force on load y,spring force,unlatching motor force
0,-0.000971550483036125,0,0,0,0,3.2840754398683,-0,-0,3.2840754398683,0.00125
0.000155074408256553,-0.000971550483033634,6.41351790298096e-11,4.99067655216437e-09,6.42549946479334e-05,3.27795165754552e-06,3.28407543875218,-0,-0,3.28407543985514,0.00123393625133802
0.000310148816513106,-0.000971550482996511,5.09610251791895e-10,1.99033508828399e-08,0.000128021219840733,1.30728211429267e-05,3.28407543528113,-0,-0,3.28407543965898,0.00121799469503982
0.00046522322476966,-0.000971550482836418,1.71281442568641e-09,4.46886300374417e-08,0.000191638726023033,2.93521663734602e-05,3.28407542899565,-0,-0,3.28407543881303,0.00120209031849424
0.000620297633026213,-0.00097155048240649,4.05384391134373e-09,7.93495023756784e-08,0.000255442302060095,5.21179500600437e-05,3.28407541907002,-0,-0,3.28407543654126,0.00118613942448498
0.000775372041282766,-0.000971550481499999,7.92633231590312e-09,1.23940524459696e-07,0.000319763545782215,8.14060056199819e-05,3.28407540430588,-0,-0,3.2840754317513,0.00117005911355445
0.000930446449539319,-0.000971550479847486,1.37472892298172e-08,1.78567599053999e-07,0.000384932353178276,0.000117285891329887,3.28407538311647,-0,-0,3.28407542301929,0.00115376691170543
0.00108552085779587,-0.000971550477112366,2.19671530280661e-08,2.43387724992159e-07,0.000451278983004344,0.000159860725987703,3.28407535350146,-0,-0,3.28407540856672,0.00113718025424891
0.00124059526605243,-0.000971550472884937,3.30802749407214e-08,3.18609280833623e-07,0.000519135456239818,0.000209267375161321,3.28407531301227,-0,-0,3.28407538622866,0.00112021613594005
0.00139566967430898,-0.000971550466674717,4.76360624539051e-08,4.04492373680885e-07,0.000588837582579589,0.000265676680217592,3.28407525870713,-0,-0,3.28407535341339,0.0011027906043551
0.00155074408256553,-0.000971550457900984,6.62509801443871e-08,5.01349582782167e-07,0.000660726388198942,0.000329293946630485,3.28407518709546,-0,-0,3.28407530705232,0.00108481840295026
0.00170581849082209,-0.000971550445881382,8.96216900765776e-08,6.09546901307759e-07,0.000735150069816806,0.00040035956242558,3.28407509407047,-0,-0,3.28407524353984,0.0010662124825458
0.00186089289907864,-0.000971550429818374,1.1853953249106e-07,7.29504974844636e-07,0.000812465543875309,0.000479149811479961,3.284074974829,-0,-0,3.2840751586617,0.00104688361403117
0.00201596730733519,-0.000971550408783335,1.53906676026219e-07,8.61700586466845e-07,0.000893040321416451,0.000565977848735039,3.28407482377714,-0,-0,3.28407504751097,0.00102673991964589
0.00217104171559175,-0.000971550381697983,1.9675421048581e-07,1.00666846955346e-06,0.000977254242329382,0.000661194890627025,3.28407463441994,-0,-0,3.28407490438994,0.00100568643941765
0.0023261161238483,-0.000971550347312859,2.48262506801222e-07,1.16500328241163e-06,0.00106550129004059,0.000765191511729074,3.28407439923353,-0,-0,3.28407472269637,0.000983624677489853
0.00248119053210485,-0.000971550304182386,3.09784307119454e-07,1.33736209010296e-06,0.0011581915560893,0.000878399274452289,3.28407410951684,-0,-0,3.28407449479174,0.000960452110977674
0.0026362649403614,-0.000971550250636222,3.82870772860975e-07,1.52446678551548e-06,0.00125575302362422,0.0010012923187436,3.28407375522118,-0,-0,3.28407421184982,0.000936061744093946
0.00279133934861796,-0.000971550184746138,4.69301311719742e-07,1.72710734277892e-06,0.00135863380375379,0.00113438949835653,3.28407332475318,-0,-0,3.28407386368175,0.000910341549061552
0.00294641375687451,-0.000971550104288204,5.7111718653861e-07,1.9461446673969e-06,0.00146730392874808,0.00127825625208881,3.28407280474987,-0,-0,3.2840734385361,0.000883174017812979
0.00310148816513106,-0.000971550006699057,6.90660287636513e-07,2.18251470923209e-06,0.00158225788563437,0.00143350730429321,3.28407217981833,-0,-0,3.2840729228679,0.000854435528591408
0.00325656257338762,-0.00097154988902622,8.3061671739537e-07,2.43723176769296e-06,0.00170401647829887,0.00160080883458505,3.28407143224028,-0,-0,3.28407230107609,0.000823995880425282
0.00341163698164417,-0.000971549747870581,9.94067337821868e-07,2.71139353585577e-06,0.00183312967762776,0.00178088178942235,3.28407054162958,-0,-0,3.28407155519953,0.00079171758059306
0.00356671138990072,-0.000971549579321268,1.18454446054474e-06,3.00618491706555e-06,0.00197017861363454,0.00197450438708469,3.28406948454502,-0,-0,3.28407066457298,0.000757455346591366
0.00372178579815728,-0.000971549378880141,1.40609783240474e-06,3.32288408132227e-06,0.00211577877452612,0.00218251609334174,3.28406823404085,-0,-0,3.28406960542801,0.00072105530636847
0.00387686020641383,-0.000971549141376582,1.66336849053319e-06,3.66286685924289e-06,0.00227058218073229,0.00240582050469218,3.28406675916013,-0,-0,3.28406835044282,0.000682354454816928
0.00403193461467038,-0.00097154886086848,1.96167494713068e-06,4.02761391128263e-06,0.00243528098013849,0.00264539005377538,3.28406502434552,-0,-0,3.28406686821904,0.000641179754965378
0.00418700902292694,-0.000971548530530832,2.30710948991654e-06,4.4187157768476e-06,0.00261060985306661,0.00290226932147329,3.28406298877701,-0,-0,3.28406512269311,0.000597347536733347
0.00434208343118349,-0.000971548142526057,2.70665076078407e-06,4.83788127275349e-06,0.0027973500600759,0.00317758054791611,3.28406060560033,-0,-0,3.28406307245101,0.000550662484981026
0.00449715783944004,-0.000971547687858402,3.16828938582824e-06,5.28694329573204e-06,0.00299633213127092,0.00347252743723782,3.28405782106156,-0,-0,3.28406066995899,0.000500916967182269
